X,Y
2.080458426310723E+08,1.780310653722376E+07
2.079360539951150E+08,2.006662604691276E+07
2.078036858943567E+08,2.232796714176254E+07
2.076487839668094E+08,2.458688764474861E+07
2.074713967835441E+08,2.684314638440116E+07
2.072715758244964E+08,2.909650323605657E+07
2.070493754534815E+08,3.134671916263190E+07
2.068048528926232E+08,3.359355625485815E+07
2.065380681962728E+08,3.583677777073259E+07
2.062490842243049E+08,3.807614817411774E+07
2.059379666146924E+08,4.031143317269423E+07
2.056047837554423E+08,4.254239975544234E+07
2.052496067560621E+08,4.476881622954307E+07
2.048725094185458E+08,4.699045225645781E+07
2.044735682077214E+08,4.920707888711661E+07
2.040528622209185E+08,5.141846859636564E+07
2.036104731571746E+08,5.362439531680338E+07
2.031464852861726E+08,5.582463447194025E+07
2.026609854168246E+08,5.801896300852329E+07
2.021540628652951E+08,6.020715942801961E+07
2.016258094224398E+08,6.238900381742515E+07
2.010763193208542E+08,6.456427787946334E+07
2.005056892016831E+08,6.673276496198982E+07
1.999140180811412E+08,6.889425008641465E+07
1.993014073166258E+08,7.104851997524309E+07
1.986679605724408E+08,7.319536307899779E+07
1.980137837852872E+08,7.533456960256885E+07
1.973389851295979E+08,7.746593153077716E+07
1.966436749825957E+08,7.958924265298629E+07
1.959279658889402E+08,8.170429858685036E+07
1.951919725250726E+08,8.381089680137131E+07
1.944358116635092E+08,8.590883663927713E+07
1.936596021371484E+08,8.799791933858375E+07
1.928634648033946E+08,9.007794805327483E+07
1.920475225079553E+08,9.214872787322634E+07
1.912119000484286E+08,9.421006584352437E+07
1.903567241378800E+08,9.626177098310095E+07
1.894821233684349E+08,9.830365430246001E+07
1.885882281747610E+08,1.003355288204451E+08
1.876751707973989E+08,1.023572095802826E+08
1.867430852460679E+08,1.043685136651005E+08
1.857921072630727E+08,1.063692602128165E+08
1.848223742867593E+08,1.083592704301668E+08
1.838340254148499E+08,1.103383676058602E+08
1.828272013676385E+08,1.123063771230377E+08
1.818020444512596E+08,1.142631264711335E+08
1.807586985212191E+08,1.162084452570262E+08
1.796973089460938E+08,1.181421652153744E+08
1.786180225711842E+08,1.200641202182072E+08
1.775209876821102E+08,1.219741462839514E+08
1.764063539685440E+08,1.238720815859325E+08
1.752742724881928E+08,1.257577664601600E+08
1.741248956309339E+08,1.276310434122353E+08
1.729583770829934E+08,1.294917571234968E+08
1.717748717912482E+08,1.313397544566685E+08
1.705745359278115E+08,1.331748844610687E+08
1.693575268549178E+08,1.349969983771705E+08
1.681240030899528E+08,1.368059496403797E+08
1.668741242705079E+08,1.386015938841576E+08
1.656080511195790E+08,1.403837889426592E+08
1.643259454111377E+08,1.421523948528447E+08
1.630279699361257E+08,1.439072738559114E+08
1.617142884686807E+08,1.456482903980505E+08
1.603850657324542E+08,1.473753111307146E+08
1.590404673671397E+08,1.490882049105224E+08
1.576806598953926E+08,1.507868427986982E+08
1.563058106901172E+08,1.524710980598356E+08
1.549160879419669E+08,1.541408461599699E+08
1.535116606270505E+08,1.557959647641867E+08
1.520926984750137E+08,1.574363337339611E+08
1.506593719375869E+08,1.590618351241328E+08
1.492118521574812E+08,1.606723531793174E+08
1.477503109374430E+08,1.622677743297698E+08
1.462749207094660E+08,1.638479871868983E+08
1.447858545043500E+08,1.654128825384864E+08
1.432832859217468E+08,1.669623533434615E+08
1.417673891005858E+08,1.684962947261040E+08
1.402383386896766E+08,1.700146039698300E+08
1.386963098184773E+08,1.715171805107341E+08
1.371414780682133E+08,1.730039259308663E+08
1.355740194434311E+08,1.744747439510248E+08
1.339941103438610E+08,1.759295404229258E+08
1.324019275364976E+08,1.773682233208734E+08
1.307976481280395E+08,1.787907027331635E+08
1.291814495378819E+08,1.801968908532701E+08
1.275535094716379E+08,1.815867019706424E+08
1.259140058949943E+08,1.829600524610266E+08
1.242631170078008E+08,1.843168607764671E+08
1.226010212185226E+08,1.856570474351580E+08
1.209278971192449E+08,1.869805350110656E+08
