X,Y,VX,VY
7.030668445645963E+06,-1.518860762127445E+08,2.926133483155723E+01,1.259056273447988E+00
9.557808559864935E+06,-1.517560080670822E+08,2.923601172663232E+01,1.751762668853721E+00
1.208243091055951E+07,-1.515833742147368E+08,2.920303557849892E+01,2.244378062631206E+00
1.460386904960461E+07,-1.513681818652034E+08,2.916227847529295E+01,2.736911123159565E+00
1.712144388668609E+07,-1.511104393349788E+08,2.911357827325682E+01,3.229325644386438E+00
1.963446144012760E+07,-1.508101603232131E+08,2.905675532339128E+01,3.721532440470492E+00
2.214221207540466E+07,-1.504673686068027E+08,2.899162973644350E+01,4.213387595131865E+00
2.464397118193815E+07,-1.500821026552789E+08,2.891803718962324E+01,4.704695832860361E+00
2.713900111901081E+07,-1.496544197798493E+08,2.883584241363947E+01,5.195217762743943E+00
2.962655421048284E+07,-1.491843995177410E+08,2.874494989691899E+01,5.684680247329069E+00
3.210587651961112E+07,-1.486721460043518E+08,2.864531108459886E+01,6.172789356177910E+00
3.457621205819709E+07,-1.481177891472458E+08,2.853692706857720E+01,6.659244917526751E+00
3.703680700587676E+07,-1.475214845355043E+08,2.841984608807874E+01,7.143754883988843E+00
3.948691349752817E+07,-1.468834121969232E+08,2.829415620197463E+01,7.626047265481668E+00
4.192579262369059E+07,-1.462037744998545E+08,2.815997475915677E+01,8.105877764996183E+00
4.435271646852536E+07,-1.454827936116016E+08,2.801743706836512E+01,8.583032406579104E+00
4.676696921936405E+07,-1.447207089272566E+08,2.786668656815043E+01,9.057325795850657E+00
4.916784754911103E+07,-1.439177747825481E+08,2.770786798539748E+01,9.528596590887796E+00
5.155466055632751E+07,-1.430742586115372E+08,2.754112393273239E+01,9.996702032416575E+00
5.392672954808106E+07,-1.421904395585229E+08,2.736659455528853E+01,1.046151312798032E+01
5.628338789345036E+07,-1.412666074356258E+08,2.718441934927713E+01,1.092291161266655E+01
5.862398108891816E+07,-1.403030618406283E+08,2.699474005430185E+01,1.138078935849500E+01
6.094786707637349E+07,-1.393001112076881E+08,2.679770339200951E+01,1.183505054261344E+01
6.325441674157748E+07,-1.382580715520194E+08,2.659346225468426E+01,1.228561651540335E+01
6.554301439156419E+07,-1.371772646970531E+08,2.638217375272073E+01,1.273243274241038E+01
6.781305786956231E+07,-1.360580158641336E+08,2.616399254020230E+01,1.317547625979895E+01
7.006395785157132E+07,-1.349006506922504E+08,2.593905850342770E+01,1.361476084066031E+01
7.229513585763301E+07,-1.337054920458077E+08,2.570747967724685E+01,1.405033606883719E+01
7.450602070222294E+07,-1.324728572967269E+08,2.546931406272530E+01,1.448227685117426E+01
7.669604354618199E+07,-1.312030569694234E+08,2.522455660154912E+01,1.491066257789195E+01
7.886463228494076E+07,-1.298963955130573E+08,2.497313771794780E+01,1.533554976699462E+01
8.101120643081610E+07,-1.285531744431677E+08,2.471493619799329E+01,1.575694605620539E+01
8.313517363370413E+07,-1.271736973687562E+08,2.444980323025132E+01,1.617479368961669E+01
8.523592849424736E+07,-1.257582758700243E+08,2.417759001353732E+01,1.658896651952904E+01
8.731285363000791E+07,-1.243072350941975E+08,2.389817124509065E+01,1.699927884695562E+01
8.936532242690288E+07,-1.228209182604947E+08,2.361146032174116E+01,1.740550085162254E+01
9.139270273286611E+07,-1.212996897454941E+08,2.331741621145855E+01,1.780737527583842E+01
9.339436086594549E+07,-1.197439367980213E+08,2.301604432426182E+01,1.820463213837943E+01
9.536966553407273E+07,-1.181540701077662E+08,2.270739396895502E+01,1.859700054445838E+01
9.731799145190404E+07,-1.165305234678091E+08,2.239155406894294E+01,1.898421795627915E+01
9.923872253878286E+07,-1.148737527239310E+08,2.206864779810685E+01,1.936603750695571E+01
1.011312546121556E+08,-1.131842341672439E+08,2.173882627811927E+01,1.974223356777743E+01
1.029949975013809E+08,-1.114624625274473E+08,2.140226151943378E+01,2.011260537319848E+01
1.048293765364898E+08,-1.097089487477601E+08,2.105913912969056E+01,2.047697841447476E+01
1.066338334259559E+08,-1.079242177381600E+08,2.070965161111197E+01,2.083520358041686E+01
1.084078266119554E+08,-1.061088062863402E+08,2.035399309434277E+01,2.118715447537715E+01
1.101508312549274E+08,-1.042632612504310E+08,1.999235608581561E+01,2.153272373904974E+01
1.118623390308274E+08,-1.023881380766404E+08,1.962493036941407E+01,2.187181937607142E+01
1.135418579171399E+08,-1.004839995981641E+08,1.925190376153555E+01,2.220436206496342E+01
1.151889121014548E+08,-9.855141499504320E+07,1.887346405695067E+01,2.253028423619219E+01
1.168030420761030E+08,-9.659095873662107E+07,1.848980120616239E+01,2.284953146482949E+01
1.183838048867735E+08,-9.460320929395428E+07,1.810110846540569E+01,2.316206640771199E+01
1.199307743800407E+08,-9.258874740956859E+07,1.770758093038214E+01,2.346787500657642E+01
1.214435411459364E+08,-9.054815377135754E+07,1.730940964102023E+01,2.376697377942608E+01
