X,Y
-7.547387569943210E+07,1.263987130051050E+08
-7.771415462267883E+07,1.250508832676783E+08
-7.993049677500904E+07,1.236641147129334E+08
-8.212219365068622E+07,1.222388126696374E+08
-8.428853804323505E+07,1.207753995654940E+08
-8.642882438636184E+07,1.192743161421787E+08
-8.854234943134199E+07,1.177360231598380E+08
-9.062841363946830E+07,1.161610034880644E+08
-9.268632364245287E+07,1.145497642460370E+08
-9.471539594144450E+07,1.129028384114511E+08
-9.671496165577659E+07,1.112207851882901E+08
-9.868437168826628E+07,1.095041885483843E+08
-1.006230013559317E+08,1.077536537849115E+08
-1.025302535534998E+08,1.059698024899986E+08
-1.044055599036868E+08,1.041532668104434E+08
-1.062483799017870E+08,1.023046839297157E+08
-1.080581984989626E+08,1.004246914827521E+08
-1.098345227315464E+08,9.851392423137662E+07
-1.115768779314671E+08,9.657301202136375E+07
-1.132848038900850E+08,9.460257889558248E+07
-1.149578512187004E+08,9.260324321579321E+07
-1.165955780962962E+08,9.057561866160636E+07
-1.181975475890189E+08,8.852031596161407E+07
-1.197633257091659E+08,8.643794515448573E+07
-1.212924803142900E+08,8.432911810976738E+07
-1.227845808314473E+08,8.219445100802341E+07
-1.242391986654093E+08,8.003456651743801E+07
-1.256559080588893E+08,7.785009550263406E+07
-1.270342871445820E+08,7.564167822784297E+07
-1.283739189619345E+08,7.340996513316090E+07
-1.296743922866308E+08,7.115561734610356E+07
-1.309353022165527E+08,6.887930713540618E+07
-1.321562505626410E+08,6.658171852356435E+07
-1.333368462048253E+08,6.426354824931341E+07
-1.344767056911123E+08,6.192550719879393E+07
-1.355754544652153E+08,5.956832227889845E+07
-1.366327291525199E+08,5.719273846513564E+07
-1.376481812221950E+08,5.479952043894034E+07
-1.386214819804697E+08,5.238945295190929E+07
-1.395523282499756E+08,4.996333903915221E+07
-1.404404474900616E+08,4.752199565661485E+07
-1.412856009251787E+08,4.506624718605956E+07
-1.420875837446952E+08,4.259691810746188E+07
-1.428462224208084E+08,4.011482644055180E+07
-1.435613700834779E+08,3.762077912820038E+07
-1.442329012224629E+08,3.511556971432936E+07
-1.448607067424910E+08,3.259997797039139E+07
-1.454446898995606E+08,3.007477082133468E+07
-1.459847632157299E+08,2.754070396763767E+07
-1.464808462426224E+08,2.499852380275184E+07
-1.469328639961141E+08,2.244896942275085E+07
-1.473407459303915E+08,1.989277464387084E+07
-1.477044253809594E+08,1.733066998159681E+07
-1.480238394388277E+08,1.476338453438581E+07
-1.482989292112485E+08,1.219164769513504E+07
-1.485296403911995E+08,9.616190612960959E+06
-1.487159240222053E+08,7.037747357654413E+06
-1.488577373287105E+08,4.457055793198147E+06
-1.489550444966182E+08,1.874858229241041E+06
-1.490078173345967E+08,-7.080980261322664E+05
-1.490160358194666E+08,-3.291060055112327E+06
-1.489796886228938E+08,-5.873268499799923E+06
-1.488987738264221E+08,-8.453956392714918E+06
-1.487733001439120E+08,-1.103234763473913E+07
-1.486032890460833E+08,-1.360765530681368E+07
-1.483887781396463E+08,-1.617908030052309E+07
